,listing_id,id,date,reviewer_id,comments
30442,1207614,36174906,2015-06-26,15398761,4.9
30443,1207614,36417563,2015-06-28,30819128,3.0
30444,1207614,36707738,2015-06-30,18231522,3.0
30445,1207614,36934005,2015-07-02,23716026,3.7
30446,1207614,37021215,2015-07-03,6309412,3.3
30447,1207614,37124989,2015-07-04,22586078,3.4
30448,1207614,37467066,2015-07-07,28560204,3.0
30449,5300131,29243044,2015-04-05,21797004,3.6
30450,5300131,32274149,2015-05-16,16213139,3.0
30451,5300131,33021063,2015-05-24,22253977,3.9
30452,5300131,33455600,2015-05-28,31894181,3.7
30453,5300131,34060189,2015-06-04,13688902,4.6
30454,5300131,34669707,2015-06-10,25122807,3.0
30455,5300131,34803313,2015-06-12,2554301,3.7
30456,5300131,35110414,2015-06-15,131103,3.3
30457,5300131,35957958,2015-06-23,16284175,3.5
30458,5300131,36071728,2015-06-24,35734659,3.1
30459,5300131,36226617,2015-06-26,35652226,5.0
30460,5300131,36433496,2015-06-28,19858490,3.7
30461,5300131,36736038,2015-06-30,8228443,3.6
30462,5300131,36824409,2015-07-01,13898640,3.6
30463,5300131,37078850,2015-07-04,16429019,3.2
30464,5300131,37268276,2015-07-05,37106670,3.3
30465,5300131,37505494,2015-07-07,30433853,3.2
30466,5300131,38416757,2015-07-15,5553440,3.0
30467,5754672,31540880,2015-05-06,31040207,3.4
30468,5754672,32069079,2015-05-13,31080990,3.0
30469,5754672,32262065,2015-05-16,5441957,3.6
30470,5754672,33131230,2015-05-25,30693825,3.7
30471,5754672,33528077,2015-05-29,30123192,3.5
30472,5754672,33823858,2015-06-01,15161345,3.0
30473,5754672,35534122,2015-06-19,5672029,3.0
30474,5754672,35762150,2015-06-22,11146086,3.0
30475,5754672,37053850,2015-07-04,32817577,3.7
30476,5754672,37745794,2015-07-10,23390494,4.0
30477,197892,475462,2011-08-25,485424,4.1
30478,197892,609786,2011-10-08,1231178,3.8
30479,197892,665377,2011-10-25,1241362,3.0
30480,197892,1224887,2012-05-04,1633054,4.4
30481,197892,1404640,2012-06-03,104878,4.0
30482,197892,4391957,2013-05-02,5457046,3.6
30483,197892,4916696,2013-06-02,5124124,4.1
30484,197892,5213912,2013-06-18,2463633,4.2
30485,197892,5827738,2013-07-18,2050616,3.3
30486,197892,6163386,2013-08-01,7631425,3.9
30487,197892,6359576,2013-08-09,188732,3.9
30488,197892,6538005,2013-08-16,7505743,3.0
30489,197892,7247325,2013-09-13,3509929,3.9
30490,197892,7873032,2013-10-07,7935209,3.0
30491,197892,8232134,2013-10-21,6450434,3.6
30492,197892,8560580,2013-11-05,2796741,3.8
30493,197892,12112749,2014-04-23,1283459,3.6
30494,197892,12413847,2014-05-01,5273760,4.0
30495,197892,13299616,2014-05-24,15277015,3.0
30496,197892,14032534,2014-06-10,4518347,3.6
30497,197892,14358278,2014-06-17,3795203,4.3
30498,197892,14574588,2014-06-22,2996466,3.7
30499,197892,15264327,2014-07-06,7119059,3.7
30500,197892,15635811,2014-07-13,6693392,3.6
30501,197892,15927108,2014-07-18,9044408,3.7
30502,197892,16086452,2014-07-22,15927670,3.8
30503,197892,16673582,2014-07-31,7000511,3.7
30504,197892,16843603,2014-08-03,1005010,3.0
30505,197892,16991223,2014-08-05,17191950,3.7
30506,197892,17434225,2014-08-12,13611647,3.7
30507,197892,18473429,2014-08-27,11894396,4.1
30508,197892,19292569,2014-09-09,10515364,3.6
30509,197892,19498388,2014-09-13,2170375,4.4
30510,197892,20445362,2014-09-29,9227638,4.1
30511,197892,21358954,2014-10-15,2804632,3.8
30512,197892,22401825,2014-11-05,8205870,3.6
30513,197892,23008076,2014-11-20,16553762,3.6
30514,197892,27919610,2015-03-15,3700809,4.0
30515,197892,28414499,2015-03-23,22401686,3.8
30516,197892,29087651,2015-04-03,28418835,3.0
30517,197892,29095400,2015-04-04,10847803,3.6
30518,197892,29675464,2015-04-11,28492636,4.1
30519,197892,30216824,2015-04-19,29359734,3.0
30520,197892,31194450,2015-05-03,17402892,3.9
30521,197892,31865433,2015-05-10,9600794,3.0
30522,197892,33357487,2015-05-27,8406688,3.9
30523,197892,33744528,2015-05-31,1751430,3.8
30524,197892,34830124,2015-06-12,844170,3.7
30525,197892,36278764,2015-06-27,9138003,3.8
30526,197892,37048692,2015-07-04,315614,3.5
30527,197892,37523633,2015-07-07,8043561,4.2
30528,197892,38612585,2015-07-17,6855300,3.8
30529,2330916,12469866,2014-05-03,14095299,3.6
30530,2330916,12643651,2014-05-06,11845765,3.8
30531,2330916,13087199,2014-05-19,14346171,4.0
30532,2330916,13296632,2014-05-24,15721010,3.3
30533,2330916,13629213,2014-06-01,15616503,3.9
30534,2330916,13805797,2014-06-04,16138156,4.0
30535,2330916,14122638,2014-06-12,4259071,3.0
30536,2330916,14294456,2014-06-16,14512507,3.8
30537,2330916,14517583,2014-06-21,13662494,3.8
30538,2330916,15044874,2014-07-01,15430002,3.8
30539,2330916,15467789,2014-07-09,17234721,4.0
30540,2330916,15952758,2014-07-19,13628878,3.4
30541,2330916,16230550,2014-07-23,10424725,3.0
30542,2330916,16738781,2014-08-01,18151994,3.7
30543,2330916,17209821,2014-08-09,10752916,3.6
30544,2330916,18111962,2014-08-22,16294279,5.0
30545,2330916,19214332,2014-09-08,19766183,3.0
30546,2330916,19413202,2014-09-12,2162595,3.9
30547,2330916,19623002,2014-09-15,585337,3.7
30548,2330916,19933597,2014-09-21,18788281,3.0
30549,2330916,20504966,2014-09-30,427433,4.0
30550,2330916,21285782,2014-10-14,4324296,2.6
30551,2330916,21720474,2014-10-22,22233769,4.0
30552,2330916,21919237,2014-10-26,20144790,3.7
30553,2330916,22445574,2014-11-06,2834194,3.7
30554,2330916,22698489,2014-11-12,11905952,3.8
30555,2330916,23225494,2014-11-25,21290759,3.6
30556,2330916,27329897,2015-03-02,26321156,3.5
30557,2330916,28958303,2015-04-01,25916990,4.0
30558,2330916,29436368,2015-04-07,13887655,4.2
30559,2330916,29767562,2015-04-12,29794161,3.0
30560,2330916,30468140,2015-04-22,25884646,3.7
30561,2330916,30884176,2015-04-28,30272509,3.9
30562,2330916,31189850,2015-05-03,2377866,3.8
30563,2330916,31789157,2015-05-10,19614037,3.8
30564,2330916,32293972,2015-05-16,33048077,3.8
30565,2330916,32566824,2015-05-19,1823996,3.8
30566,2330916,33441538,2015-05-28,10476770,5.0
30567,2330916,33942588,2015-06-02,33306422,3.0
30568,2330916,34634602,2015-06-10,4356761,3.5
30569,2330916,35502369,2015-06-19,34162002,3.5
30570,2330916,36457844,2015-06-28,35731773,3.0
30571,2330916,36839133,2015-07-01,36278731,3.8
30572,2330916,37239770,2015-07-05,22657922,3.4
30573,6737069,36353589,2015-06-27,31313114,3.3
30574,6737069,36604858,2015-06-29,7892926,3.8
30575,6737069,36911269,2015-07-02,6621075,3.7
30576,1058590,4537460,2013-05-11,4659274,4.1
30577,1058590,4739144,2013-05-22,318079,3.6
30578,1058590,5297225,2013-06-23,2181117,3.3
30579,1058590,5503069,2013-07-02,5668690,3.6
30580,1058590,5867401,2013-07-20,4124653,3.9
30581,1058590,5947677,2013-07-23,5013255,3.9
30582,1058590,6162038,2013-08-01,2561843,3.6
30583,1058590,7041971,2013-09-04,2333015,3.9
30584,1058590,7226320,2013-09-11,8318758,4.7
30585,1058590,7982498,2013-10-11,3516536,3.3
30586,1058590,8119909,2013-10-16,3015056,3.7
30587,1058590,8360520,2013-10-27,9558050,3.9
30588,1058590,8718089,2013-11-13,8124673,3.6
30589,1058590,8857732,2013-11-22,9535999,4.0
30590,1058590,9625193,2014-01-03,5646772,3.8
30591,1058590,11039472,2014-03-17,4288635,3.8
30592,1058590,11863741,2014-04-17,12076416,4.0
30593,1058590,12186935,2014-04-25,13835895,4.4
30594,1058590,12340825,2014-04-29,8427881,4.6
30595,1058590,12470277,2014-05-03,13103281,3.0
30596,1058590,12618134,2014-05-06,3901804,3.8
30597,1058590,12779662,2014-05-11,12904161,3.8
30598,1058590,12938552,2014-05-14,9395660,4.0
30599,1058590,14114448,2014-06-12,8095397,4.2
30600,1058590,14438123,2014-06-19,11411633,3.8
30601,1058590,14512442,2014-06-21,12726488,3.9
30602,1058590,14619902,2014-06-23,4203744,3.7
30603,1058590,14754743,2014-06-25,16573054,3.0
30604,1058590,14869875,2014-06-28,142027,3.7
30605,1058590,15359907,2014-07-07,15259099,3.5
30606,1058590,15678108,2014-07-14,4707470,4.0
30607,1058590,15910463,2014-07-18,99006,3.7
30608,1058590,16029408,2014-07-20,17458440,4.3
30609,1058590,16470536,2014-07-28,6636775,3.8
30610,1058590,17094088,2014-08-07,11825179,3.6
30611,1058590,17236717,2014-08-09,4258152,3.5
30612,1058590,17449130,2014-08-12,2549763,3.8
30613,1058590,17598311,2014-08-14,19572482,5.0
30614,1058590,17940911,2014-08-19,16113608,3.0
30615,1058590,18191477,2014-08-23,7930820,3.2
30616,1058590,18318795,2014-08-25,17664780,3.7
30617,1058590,18891575,2014-09-02,18023480,4.1
30618,1058590,19407949,2014-09-12,3126481,4.0
30619,1058590,19873638,2014-09-20,18067273,3.8
30620,1058590,20227244,2014-09-26,12004559,3.6
30621,1058590,20506286,2014-09-30,20264206,4.0
30622,1058590,20623971,2014-10-02,14039544,3.2
30623,1058590,20992041,2014-10-09,19994828,4.3
30624,1058590,21305570,2014-10-14,2744017,3.7
30625,1058590,21541426,2014-10-19,2813245,3.6
30626,1058590,21685838,2014-10-21,22443693,4.2
30627,1058590,22071989,2014-10-29,21848670,3.4
30628,1058590,22303914,2014-11-03,800069,3.8
30629,1058590,22698776,2014-11-12,21839977,4.0
30630,1058590,23225916,2014-11-25,17714978,3.8
